"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:06:48:938 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 2 Trade Flow"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","10","true","""SW in SS""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""SW in NW""","true","0","1","95","90"
"""SW in NC""","true","0","1","79","90"
"""SW in NE""","true","0","1","35","90"
"""SW in SE""","true","0","1","125","90"
"""SW in SS""","true","0","1","85","90"

"""SW in NW""",,,,"""SW in NC""",,,,"""SW in NE""",,,,"""SW in SE""",,,,"""SW in SS"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","95","true","0","0","79","true","0","0","35","true","0","0","125","true","0","0","85","true"
"1","0","95","true","1","0","79","true","1","0","35","true","1","0","125","true","1","0","85","true"
"2","0","95","true","2","0","79","true","2","0","35","true","2","0","125","true","2","0","85","true"
"3","0","95","true","3","0","79","true","3","0","35","true","3","0","125","true","3","0","85","true"
"4","0","95","true","4","0","79","true","4","0","35","true","4","0","125","true","4","0","85","true"
"5","0","95","true","5","0","79","true","5","0","35","true","5","0","125","true","5","0","85","true"
"6","0","95","true","6","0","79","true","6","0","35","true","6","0","125","true","6","0","85","true"
"7","0","95","true","7","0","79","true","7","0","35","true","7","0","125","true","7","0","85","true"
"8","0","95","true","8","0","79","true","8","0","35","true","8","0","125","true","8","0","85","true"
"9","0","95","true","9","0","79","true","9","0","35","true","9","0","125","true","9","0","85","true"
"10","0","95","true","10","0","79","true","10","0","35","true","10","0","125","true","10","0","85","true"
"11","0","95","true","11","0","79","true","11","0","35","true","11","0","125","true","11","0","85","true"
"12","0","95","true","12","0","79","true","12","0","35","true","12","0","125","true","12","0","85","true"
"13","1","95","true","13","0","79","true","13","0","35","true","13","0","125","true","13","0","85","true"
"14","1","95","true","14","0","79","true","14","0","35","true","14","0","125","true","14","0","85","true"
"15","2","95","true","15","0","79","true","15","0","35","true","15","0","125","true","15","0","85","true"
"16","1","95","true","16","0","79","true","16","0","35","true","16","0","125","true","16","0","85","true"
"17","3","95","true","17","0","79","true","17","0","35","true","17","0","125","true","17","0","85","true"
"18","2","95","true","18","0","79","true","18","0","35","true","18","0","125","true","18","0","85","true"
"19","3","95","true","19","0","79","true","19","0","35","true","19","0","125","true","19","0","85","true"
"20","2","95","true","20","0","79","true","20","0","35","true","20","0","125","true","20","0","85","true"
"21","2","95","true","21","0","79","true","21","0","35","true","21","0","125","true","21","0","85","true"
"22","3","95","true","22","0","79","true","22","0","35","true","22","0","125","true","22","0","85","true"
"23","3","95","true","23","0","79","true","23","0","35","true","23","0","125","true","23","0","85","true"
"24","0","95","true","24","0","79","true","24","0","35","true","24","0","125","true","24","0","85","true"
"25","0","95","true","25","0","79","true","25","0","35","true","25","0","125","true","25","0","85","true"
"26","0","95","true","26","0","79","true","26","0","35","true","26","0","125","true","26","0","85","true"
"27","0","95","true","27","0","79","true","27","0","35","true","27","0","125","true","27","0","85","true"
"28","0","95","true","28","0","79","true","28","0","35","true","28","0","125","true","28","0","85","true"
"29","0","95","true","29","0","79","true","29","0","35","true","29","0","125","true","29","0","85","true"
"30","0","95","true","30","0","79","true","30","0","35","true","30","0","125","true","30","0","85","true"
"31","0","95","true","31","0","79","true","31","0","35","true","31","0","125","true","31","0","85","true"
"32","0","95","true","32","0","79","true","32","0","35","true","32","0","125","true","32","0","85","true"
"33","0","95","true","33","0","79","true","33","0","35","true","33","0","125","true","33","0","85","true"
"34","0","95","true","34","0","79","true","34","0","35","true","34","0","125","true","34","0","85","true"
"35","0","95","true","35","0","79","true","35","0","35","true","35","0","125","true","35","0","85","true"
"36","0","95","true","36","0","79","true","36","0","35","true","36","0","125","true","36","0","85","true"
"37","0","95","true","37","0","79","true","37","0","35","true","37","0","125","true","37","0","85","true"
"38","0","95","true","38","0","79","true","38","0","35","true","38","0","125","true","38","0","85","true"
"39","1","95","true","39","0","79","true","39","0","35","true","39","0","125","true","39","0","85","true"
"40","1","95","true","40","0","79","true","40","0","35","true","40","0","125","true","40","0","85","true"
"41","0","95","true","41","0","79","true","41","0","35","true","41","0","125","true","41","0","85","true"
"42","0","95","true","42","0","79","true","42","0","35","true","42","0","125","true","42","0","85","true"
"43","0","95","true","43","0","79","true","43","0","35","true","43","0","125","true","43","0","85","true"
"44","0","95","true","44","0","79","true","44","0","35","true","44","0","125","true","44","0","85","true"
"45","0","95","true","45","0","79","true","45","0","35","true","45","0","125","true","45","0","85","true"
"46","0","95","true","46","0","79","true","46","0","35","true","46","0","125","true","46","0","85","true"
"47","1","95","true","47","0","79","true","47","0","35","true","47","0","125","true","47","0","85","true"
"48","0","95","true","48","0","79","true","48","0","35","true","48","0","125","true","48","0","85","true"
"49","0","95","true","49","0","79","true","49","0","35","true","49","0","125","true","49","0","85","true"
"50","0","95","true","50","0","79","true","50","0","35","true","50","0","125","true","50","0","85","true"
"51","0","95","true","51","0","79","true","51","0","35","true","51","0","125","true","51","0","85","true"
"52","0","95","true","52","0","79","true","52","0","35","true","52","0","125","true","52","0","85","true"
"53","0","95","true","53","0","79","true","53","0","35","true","53","0","125","true","53","0","85","true"
"54","0","95","true","54","0","79","true","54","0","35","true","54","0","125","true","54","0","85","true"
"55","1","95","true","55","0","79","true","55","0","35","true","55","0","125","true","55","0","85","true"
"56","1","95","true","56","0","79","true","56","0","35","true","56","0","125","true","56","0","85","true"
"57","1","95","true","57","0","79","true","57","0","35","true","57","0","125","true","57","0","85","true"
