"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:11:15:351 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 3 Price Adjustment Lag"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","-760000","28300000","true","""SW vs SE gap""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""SW vs NW gap""","true","0","1","105","90"
"""SW vs SE gap""","true","0","1","15","90"

"""SW vs NW gap""",,,,"""SW vs SE gap"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","474.13520000000005","105","true","0","-435.5779","15","true"
"1","284.7640607323366","105","true","1","-272.0975805329331","15","true"
"2","433.41811794585453","105","true","2","-396.39479533815984","15","true"
"3","592.5043355016428","105","true","3","-421.30054883927755","15","true"
"4","901.8066160015269","105","true","4","-682.7062660635793","15","true"
"5","1368.9489320059324","105","true","5","-894.1256460398199","15","true"
"6","2032.4712681543583","105","true","6","-1277.0315988180855","15","true"
"7","3117.155390672776","105","true","7","-1623.0297434816475","15","true"
"8","4541.106799637355","105","true","8","-2077.5334085272916","15","true"
"9","5696.388672353549","105","true","9","-2515.176265801005","15","true"
"10","8135.845746024937","105","true","10","-3040.7750877430226","15","true"
"11","13945.197507537185","105","true","11","-3714.977187897777","15","true"
"12","20958.589035517136","105","true","12","-3139.458745724318","15","true"
"13","29595.875830051045","105","true","13","-1391.4637982851418","15","true"
"14","36614.1951693936","105","true","14","-4072.7504902250075","15","true"
"15","50263.44373194127","105","true","15","-14858.267559550935","15","true"
"16","66377.50324512203","105","true","16","-24808.614193916408","15","true"
"17","82060.52691202416","105","true","17","-39445.030945534","15","true"
"18","93146.60445701389","105","true","18","-60197.32818909822","15","true"
"19","94372.11270098313","105","true","19","-101587.34332094574","15","true"
"20","83770.05725971691","105","true","20","-164460.8670896968","15","true"
"21","114998.33712076105","105","true","21","-204683.74590726546","15","true"
"22","71836.50910289912","105","true","22","-270075.85586879426","15","true"
"23","10050.595342546236","105","true","23","-430515.2852806826","15","true"
"24","-146532.33702847804","105","true","24","-568055.7761018144","15","true"
"25","-217739.34463408915","105","true","25","-424632.18901780806","15","true"
"26","-400049.0916394028","105","true","26","-513367.9891050984","15","true"
"27","-325842.1273827432","105","true","27","-108519.97858794034","15","true"
"28","-293010.5582150128","105","true","28","189410.4584200643","15","true"
"29","-664681.231697455","105","true","29","24334.775063524023","15","true"
"30","441.39779999999996","105","true","30","-454.7370000000001","15","true"
"31","681.1755466152501","105","true","31","-573.9397020281706","15","true"
"32","900.4017857639562","105","true","32","-588.4285308938142","15","true"
"33","1335.5645678480173","105","true","33","-571.9635959100092","15","true"
"34","1765.3962005372127","105","true","34","-1281.5086967924672","15","true"
"35","2618.6094373974483","105","true","35","-1647.7930001838113","15","true"
"36","3459.6234346743595","105","true","36","-2353.4541692949824","15","true"
"37","5557.471646760609","105","true","37","-2380.020812000799","15","true"
"38","7781.8019857817435","105","true","38","-2340.2574327940747","15","true"
"39","10286.259451437734","105","true","39","-4574.9507468662305","15","true"
"40","15257.592639463575","105","true","40","-7536.272390940074","15","true"
"41","20571.382812905766","105","true","41","-13443.76339367433","15","true"
"42","32256.269929266768","105","true","42","-11324.820983132493","15","true"
"43","50194.55615786147","105","true","43","-10829.492431270613","15","true"
"44","78221.820268282","105","true","44","-7685.363161213871","15","true"
"45","122920.9551960573","105","true","45","10173.605528830813","15","true"
"46","191381.74987185866","105","true","46","22226.198641636292","15","true"
"47","278915.25745892036","105","true","47","10176.593691798276","15","true"
"48","390548.6959386992","105","true","48","29059.2229962165","15","true"
"49","643424.3116591865","105","true","49","106643.75989783695","15","true"
"50","1012682.9564810928","105","true","50","303707.4581151311","15","true"
"51","1418000.6201750662","105","true","51","463577.07159887534","15","true"
"52","2162539.0918852007","105","true","52","1007749.3545284658","15","true"
"53","3265768.8483031853","105","true","53","1680490.0044745165","15","true"
"54","5116765.474572792","105","true","54","2697340.5870658997","15","true"
"55","7526617.085953604","105","true","55","4071082.569079238","15","true"
"56","1.0539080990153627E7","105","true","56","5700498.434177052","15","true"
"57","1.4757257722636629E7","105","true","57","7704507.649148278","15","true"
"58","2.0663723496933088E7","105","true","58","1.0788170724822275E7","15","true"
"59","2.569698958164729E7","105","true","59","1.1609775546964958E7","15","true"
