"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:11:32:659 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 4 Reward Cascade"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","61900000","true","""SW buyers""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""SW winning""","true","0","1","55","90"
"""SW losing""","true","0","1","15","90"
"""SW transporters""","true","0","1","25","90"
"""SW buyers""","true","0","1","105","90"

"""SW winning""",,,,"""SW losing""",,,,"""SW transporters""",,,,"""SW buyers"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","0","15","true","0","0","25","true","0","0","105","true"
"1","82.23150104594356","55","true","1","59.291550533897144","15","true","1","6955.765627398791","25","true","1","482429.2996433782","105","true"
"2","309.24051358750154","55","true","2","242.50043916200153","15","true","2","13957.576332022581","25","true","2","964445.6265968435","105","true"
"3","613.3696038300097","55","true","3","439.17689712663656","15","true","3","21775.724720276932","25","true","3","1445625.999358297","105","true"
"4","1075.517523171597","55","true","4","846.674390219291","15","true","4","29644.63780617185","25","true","4","1926263.516840479","105","true"
"5","1749.028877841912","55","true","5","1442.0077744370533","15","true","5","37566.85382458936","25","true","5","2405692.3960814048","105","true"
"6","2681.5585810866355","55","true","6","2026.1025949366876","15","true","6","44777.04756961127","25","true","6","2883247.984575042","105","true"
"7","4062.0705992095272","55","true","7","3080.6761296420254","15","true","7","52046.00779773933","25","true","7","3342324.972107019","105","true"
"8","6057.245125727472","55","true","8","4893.276165388205","15","true","8","60188.51564017319","25","true","8","3814871.7852760176","105","true"
"9","8770.406770665413","55","true","9","6519.101836266016","15","true","9","68395.81353023156","25","true","9","4299261.201099369","105","true"
"10","12805.806878308083","55","true","10","9727.635547607742","15","true","10","76671.14097029572","25","true","10","4745302.681497777","105","true"
"11","18890.934673594675","55","true","11","15550.916798662814","15","true","11","84935.97217632161","25","true","11","5213505.960856065","105","true"
"12","27380.508278620797","55","true","12","22053.23365446403","15","true","12","92589.74287022886","25","true","12","5623381.547484978","105","true"
"13","39670.290144540966","55","true","13","30490.037343580032","15","true","13","101090.25662450583","25","true","13","6061182.148658729","105","true"
"14","57288.649151785285","55","true","14","42324.946231204456","15","true","14","109673.4607219995","25","true","14","6463709.604349601","105","true"
"15","81039.58318993995","55","true","15","58368.83821449757","15","true","15","118261.56241832642","25","true","15","6824527.933872178","105","true"
"16","114095.18865167396","55","true","16","91035.03139223804","15","true","16","127022.75747959405","25","true","16","7177334.674087212","105","true"
"17","154848.9709735655","55","true","17","115366.59774702913","15","true","17","135879.67694942784","25","true","17","7479370.273463237","105","true"
"18","214399.0619202753","55","true","18","163205.3252525048","15","true","18","143301.12634316756","25","true","18","7697661.183190752","105","true"
"19","292668.7024168004","55","true","19","195123.8711031561","15","true","19","152407.94505694023","25","true","19","7883278.002180235","105","true"
"20","395887.2875866559","55","true","20","281609.87516803795","15","true","20","161625.57673917935","25","true","20","7957323.290138619","105","true"
"21","530918.9250015762","55","true","21","384301.1751728494","15","true","21","170191.57168576395","25","true","21","7879488.383323174","105","true"
"22","697671.7719482735","55","true","22","455116.4394805709","15","true","22","179647.7282826271","25","true","22","7732780.438575869","105","true"
"23","937270.4783770546","55","true","23","453671.6568801185","15","true","23","189363.72210561135","25","true","23","7426072.8750669835","105","true"
"24","1263056.3489404658","55","true","24","610625.4966236097","15","true","24","199214.4097843476","25","true","24","6862645.507043674","105","true"
"25","1720042.094555483","55","true","25","1073469.1976606967","15","true","25","209120.21350462924","25","true","25","5756830.550887638","105","true"
"26","2375266.835555556","55","true","26","1594804.4999354687","15","true","26","219174.51720087742","25","true","26","3982124.836736175","105","true"
"27","3327766.014648196","55","true","27","2452884.186876597","15","true","27","229471.05837888503","25","true","27","3524800.0266912924","105","true"
"28","4732418.739380652","55","true","28","3493516.1874976596","15","true","28","239977.36585762072","25","true","28","3700181.660485214","105","true"
"29","6613643.198921815","55","true","29","4984357.582991568","15","true","29","249889.78289121558","25","true","29","3453054.226154997","105","true"
"30","9459572.227390824","55","true","30","7735715.847214859","15","true","30","256345.05813852008","25","true","30","3638281.023706913","105","true"
"31","9459876.949474407","55","true","31","7736004.633120047","15","true","31","267246.3304262842","25","true","31","3854015.1396284676","105","true"
"32","9460229.232495986","55","true","32","7736324.622957989","15","true","32","278250.8364785907","25","true","32","4086090.138319693","105","true"
"33","9460718.968292208","55","true","33","7736927.337383645","15","true","33","289540.64071813854","25","true","33","4317520.344346227","105","true"
"34","9461410.091039138","55","true","34","7737557.029689657","15","true","34","300271.75800426793","25","true","34","4533196.663177297","105","true"
"35","9462497.697390832","55","true","35","7738546.655134769","15","true","35","312077.6236296573","25","true","35","4730696.922023175","105","true"
"36","9464016.462673409","55","true","36","7740019.936591463","15","true","36","324113.86145783594","25","true","36","4979025.696522927","105","true"
"37","9466439.936616136","55","true","37","7742467.865964715","15","true","37","335494.202295262","25","true","37","5227708.256578257","105","true"
"38","9469012.249650085","55","true","38","7746020.003154801","15","true","38","348026.3162899442","25","true","38","5458938.5254129125","105","true"
"39","9472651.198587922","55","true","39","7749127.937092382","15","true","39","360825.1149058804","25","true","39","5724798.1920795785","105","true"
"40","9478331.594265519","55","true","40","7754889.477776379","15","true","40","373949.9774513581","25","true","40","5956263.556785658","105","true"
"41","9486027.541530589","55","true","41","7764296.743528528","15","true","41","387368.8597917681","25","true","41","6185760.593568336","105","true"
"42","9498471.014927654","55","true","42","7778054.747133856","15","true","42","401096.46291685704","25","true","42","6451620.260235001","105","true"
"43","9516552.805498712","55","true","43","7798015.009692337","15","true","43","414181.5485317546","25","true","43","6714620.805003291","105","true"
"44","9543743.452149326","55","true","44","7821734.404136133","15","true","44","428233.30848075636","25","true","44","6963863.305003294","105","true"
"45","9579349.668079058","55","true","45","7866438.339519326","15","true","45","442625.43309486686","25","true","45","7224623.710476561","105","true"
"46","9631673.836667608","55","true","46","7930806.132563445","15","true","46","456563.4468204756","25","true","46","7476644.159084092","105","true"
"47","9704131.504751282","55","true","47","8002702.58787502","15","true","47","471734.2514534573","25","true","47","7749882.87491675","105","true"
"48","9804272.158135427","55","true","48","8150887.329116105","15","true","48","486489.87919888087","25","true","48","8015742.541583417","105","true"
"49","9981549.761280801","55","true","49","8318904.873316231","15","true","49","501705.2673992479","25","true","49","8281602.208250082","105","true"
"50","1.0301213938974207E7","55","true","50","8685773.184133511","15","true","50","518166.55053308525","25","true","50","8530844.708250085","105","true"
"51","1.0617363181423597E7","55","true","51","8994649.922448965","15","true","51","535083.9548708571","25","true","51","8764446.810821922","105","true"
"52","1.124527272884408E7","55","true","52","9601047.813521113","15","true","52","552389.3879482227","25","true","52","8921730.96620085","105","true"
"53","1.2058295710087739E7","55","true","53","1.028794071825279E7","15","true","53","570288.5931774642","25","true","53","9204207.799534183","105","true"
"54","1.3199716095889479E7","55","true","54","1.1466030870036075E7","15","true","54","588633.9069440453","25","true","54","9453450.299534183","105","true"
