"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:12:13:710 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 5 PMS vs Transport"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","42700000","true","""NW Bus intercity""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""SW PMS""","true","0","1","105","90"
"""NE PMS""","true","0","1","95","90"
"""SW Bus intercity""","true","0","1","35","90"
"""NW Bus intercity""","true","0","1","25","90"

"""SW PMS""",,,,"""NE PMS""",,,,"""SW Bus intercity""",,,,"""NW Bus intercity"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","1372.3431","105","true","0","898.2079","95","true","0","1102.7341","35","true","0","1032.0477","25","true"
"1","934.8848913705087","105","true","1","650.1208306381722","95","true","1","736.1940758861791","35","true","1","732.0538973466732","25","true"
"2","1361.950754775994","105","true","2","928.5326368301395","95","true","2","1072.4957548997638","35","true","2","1066.4642965471517","25","true"
"3","1945.201054892487","105","true","3","1352.6967193908442","95","true","3","1472.306841096761","35","true","3","1523.1736297175394","25","true"
"4","2833.790629580235","105","true","4","1931.984013578708","95","true","4","2144.873055498872","35","true","4","2090.99098524722","25","true"
"5","4128.297849777072","105","true","5","2759.3489177711394","95","true","5","3063.406893043719","35","true","5","3046.17902896306","25","true"
"6","5896.2259128213","105","true","6","3863.7546446669417","95","true","6","4375.299399788981","35","true","6","4265.386046629438","25","true"
"7","8421.262534849011","105","true","7","5304.107144176235","95","true","7","6373.985048766762","35","true","7","6213.862047873946","25","true"
"8","12268.189347557813","105","true","8","7727.082547920458","95","true","8","9471.406485219937","35","true","8","9052.423655889232","25","true"
"9","17178.42686294574","105","true","9","11482.038190592191","95","true","9","12747.266107855345","35","true","9","12675.578547053412","25","true"
"10","24535.023706265696","105","true","10","16399.17796024076","95","true","10","18941.76687881079","35","true","10","18103.84749568734","25","true"
"11","36457.75458659272","105","true","11","22512.557079055532","95","true","11","27594.57761646857","35","true","11","26901.36504340586","25","true"
"12","53112.064207024865","105","true","12","32153.47517150773","95","true","12","41004.09075231406","35","true","12","39190.20915148245","25","true"
"13","77374.24853280763","105","true","13","47778.372702756584","95","true","13","59735.21752731491","35","true","13","57092.734545580824","25","true"
"14","106218.2623279666","105","true","14","69604.067158573","95","true","14","85316.60028153994","35","true","14","81542.48387859408","25","true"
"15","145814.91214339726","105","true","15","95551.468411456","95","true","15","121853.11420807424","35","true","15","118792.00155000374","25","true"
"16","200172.62697949933","105","true","16","133795.1237343773","95","true","16","170623.77757173043","35","true","16","173057.51506498497","25","true"
"17","269406.0008508747","105","true","17","187345.47393885054","95","true","17","229637.13999905082","35","true","17","247168.74650643914","25","true"
"18","355475.4967644274","105","true","18","262328.8923074135","95","true","18","327978.38350779173","35","true","18","346095.91638818907","25","true"
"19","469042.3687698868","105","true","19","374670.25606890366","95","true","19","450244.0364582232","35","true","19","465799.53589013906","25","true"
"20","618891.44456857","105","true","20","535121.3873088531","95","true","20","594087.4443023311","35","true","20","639442.9443078245","25","true"
"21","849605.328106612","105","true","21","734606.9909858509","95","true","21","831865.8461342967","35","true","21","877818.1331668339","25","true"
"22","1121036.187421738","105","true","22","1049199.6783188388","95","true","22","1164813.012968795","35","true","22","1205056.1848807572","25","true"
"23","1479183.4419279532","105","true","23","1469132.846585407","95","true","23","1663639.8149006942","35","true","23","1590046.0442477257","25","true"
"24","1951751.1382981783","105","true","24","2098283.4753266564","95","true","24","2376087.322950402","35","true","24","2226448.329578737","25","true"
"25","2900199.521551968","105","true","25","3117938.866186057","95","true","25","3327095.8852132005","35","true","25","3056436.439968563","25","true"
"26","4142199.0838791025","105","true","26","4542248.175518505","95","true","26","4658737.464100207","35","true","26","4195832.253306886","25","true"
"27","6034401.904229491","105","true","27","6360244.031612234","95","true","27","6523357.158376591","35","true","27","6112535.30466996","25","true"
"28","8790984.113604547","105","true","28","9083994.67181956","95","true","28","9316960.383051187","35","true","28","8730205.612072362","25","true"
"29","1.2309500071331695E7","105","true","29","1.297418130302915E7","95","true","29","1.3306913705909656E7","35","true","29","1.2718261074131906E7","25","true"
"30","1309.1024","105","true","30","867.7046","95","true","30","1110.965","35","true","30","1024.1088","25","true"
"31","1945.2573023490147","105","true","31","1264.0817557337646","95","true","31","1525.1168708559924","35","true","31","1298.8175823392949","25","true"
"32","2670.4214173878545","105","true","32","1770.0196316238982","95","true","32","2178.2424479153383","35","true","32","1818.6581747668486","25","true"
"33","3814.019368831517","105","true","33","2478.4548009835","95","true","33","3111.0666025464398","35","true","33","2597.4917137346656","25","true"
"34","5235.831268470626","105","true","34","3470.4350679334134","95","true","34","4532.236585067754","35","true","34","3565.799493706268","25","true"
"35","7478.056362135691","105","true","35","4859.446924738243","95","true","35","6473.149895750925","35","true","35","4612.741867927219","25","true"
"36","10680.505938384178","105","true","36","7220.882503709819","95","true","36","8886.247643795657","35","true","36","6208.143232905346","25","true"
"37","15870.66998687332","105","true","37","10313.19834011271","95","true","37","12691.749852284645","35","true","37","8522.450285287481","25","true"
"38","22222.769465954127","105","true","38","14440.967480172383","95","true","38","17423.05276980225","35","true","38","12415.600792919526","25","true"
"39","30507.100250385967","105","true","39","20220.840798948233","95","true","39","23918.117781423924","35","true","39","16382.121576923875","25","true"
"40","43571.65145704694","105","true","40","28314.05881758336","95","true","40","34160.96197040607","35","true","40","23397.70366957982","25","true"
"41","61010.83107277309","105","true","41","40439.44825986733","95","true","41","47833.59387041985","35","true","41","33417.68246797898","25","true"
"42","88881.26035202203","105","true","42","56624.99042275526","95","true","42","61877.85418920922","35","true","42","45875.31678929873","25","true"
"43","129483.21310917776","105","true","43","79288.65695131628","95","true","43","83279.44479669383","35","true","43","62976.979104852675","25","true"
"44","184933.91324730203","105","true","44","106712.09297902003","95","true","44","118943.55453111332","35","true","44","89946.6340901952","25","true"
"45","269413.79099795636","105","true","45","146492.83580189905","95","true","45","166549.69160043768","35","true","45","121056.32696081956","25","true"
"46","392485.02075889206","105","true","46","201103.2708870334","95","true","46","237873.97206331068","35","true","46","169508.08306584018","25","true"
"47","549573.7824791993","105","true","47","270658.525020279","95","true","47","320147.0475114085","35","true","47","232698.27333009755","25","true"
"48","769535.9731296231","105","true","48","378987.2771909239","95","true","48","406023.8660597694","35","true","48","319444.8632268262","25","true"
"49","1143489.9753836328","105","true","49","500065.6637244463","95","true","49","535739.8685625502","35","true","49","438529.3418024129","25","true"
"50","1699165.951248662","105","true","50","686482.9947675692","95","true","50","750165.1538739884","35","true","50","602006.8116891476","25","true"
"51","2379242.5430198736","105","true","51","961241.9228448074","95","true","51","1009623.5291130502","35","true","51","877010.2492065888","25","true"
"52","3535429.261201299","105","true","52","1372890.1693160979","95","true","52","1332176.8053532594","35","true","52","1277638.3294655483","25","true"
