"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:12:32:559 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 6 Agent Model Accuracy"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","10","true","""SW request-adjacent rate""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""SW buy-local rate""","true","0","1","55","90"
"""SW request-adjacent rate""","true","0","1","15","90"

"""SW buy-local rate""",,,,"""SW request-adjacent rate"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","0","15","true"
"1","0.9666666666666667","55","true","1","0","15","true"
"2","0.9666666666666667","55","true","2","0","15","true"
"3","0.9775280898876404","55","true","3","0","15","true"
"4","0.9745762711864406","55","true","4","0","15","true"
"5","0.9727891156462585","55","true","5","0","15","true"
"6","0.9771428571428571","55","true","6","0","15","true"
"7","0.9752475247524752","55","true","7","0","15","true"
"8","0.9737991266375546","55","true","8","0","15","true"
"9","0.9765625","55","true","9","0","15","true"
"10","0.975177304964539","55","true","10","0","15","true"
"11","0.9772727272727273","55","true","11","0","15","true"
"12","0.9759036144578314","55","true","12","0","15","true"
"13","0.976559229803265","55","true","13","4.185851820845542E-4","15","true"
"14","0.9770773638968483","55","true","14","0.001041938004688721","15","true"
"15","0.9759358288770053","55","true","15","0.0019445794846864365","15","true"
"16","0.9767255216693418","55","true","16","0.0018344416418252694","15","true"
"17","0.9759759759759759","55","true","17","0.0023595023595023596","15","true"
"18","0.975609756097561","55","true","18","0.0032520325203252032","15","true"
"19","0.9736084452975048","55","true","19","0.004510556621880998","15","true"
"20","0.9715877946281746","55","true","20","0.005207381691942262","15","true"
"21","0.9707270185249912","55","true","21","0.006728416637539322","15","true"
"22","0.9674248104640507","55","true","22","0.008164625510289096","15","true"
"23","0.9656105715650374","55","true","23","0.008756567425569177","15","true"
"24","0.9664648346530041","55","true","24","0.008539046731873933","15","true"
"25","0.9657627632176943","55","true","25","0.008332070898348734","15","true"
"26","0.9650939210176009","55","true","26","0.008134891288270966","15","true"
"27","0.9553349875930521","55","true","27","0.008028025105823967","15","true"
"28","0.9456725906660887","55","true","28","0.007946828492992343","15","true"
"29","0.9375447643604068","55","true","29","0.007878527431600058","15","true"
"30","0.9362036904591617","55","true","30","0.007867257903018166","15","true"
"31","0.9362036904591617","55","true","31","0.007867257903018166","15","true"
"32","0.9362036904591617","55","true","32","0.007867257903018166","15","true"
"33","0.9362036904591617","55","true","33","0.007867257903018166","15","true"
"34","0.9362036904591617","55","true","34","0.007867257903018166","15","true"
"35","0.9362036904591617","55","true","35","0.007867257903018166","15","true"
"36","0.9362036904591617","55","true","36","0.007867257903018166","15","true"
"37","0.9362036904591617","55","true","37","0.007867257903018166","15","true"
"38","0.9362036904591617","55","true","38","0.007867257903018166","15","true"
"39","0.9320031132809735","55","true","39","0.008773791834713081","15","true"
"40","0.9277462717916404","55","true","40","0.009731849051319751","15","true"
"41","0.9277462717916404","55","true","41","0.009731849051319751","15","true"
"42","0.9277462717916404","55","true","42","0.009731849051319751","15","true"
"43","0.9277462717916404","55","true","43","0.009731849051319751","15","true"
"44","0.9277462717916404","55","true","44","0.009731849051319751","15","true"
"45","0.9277462717916404","55","true","45","0.009731849051319751","15","true"
"46","0.9277462717916404","55","true","46","0.009731849051319751","15","true"
"47","0.9239936257188387","55","true","47","0.010254278389801152","15","true"
"48","0.9239936257188387","55","true","48","0.010254278389801152","15","true"
"49","0.9239936257188387","55","true","49","0.010254278389801152","15","true"
"50","0.9239936257188387","55","true","50","0.010254278389801152","15","true"
"51","0.9239936257188387","55","true","51","0.010254278389801152","15","true"
"52","0.9239936257188387","55","true","52","0.010254278389801152","15","true"
"53","0.9239936257188387","55","true","53","0.010254278389801152","15","true"
"54","0.9239936257188387","55","true","54","0.010254278389801152","15","true"
"55","0.9202496057052731","55","true","55","0.010903106356716723","15","true"
"56","0.91658182311817","55","true","56","0.011470847756736575","15","true"
"57","0.9129207821003831","55","true","57","0.012161526573943426","15","true"
"58","0.909399321492716","55","true","58","0.012572340850129714","15","true"
"59","0.8954775155120578","55","true","59","0.013880892982792808","15","true"
"60","0.8922891718938097","55","true","60","0.014192485585756826","15","true"
"61","0.8922891718938097","55","true","61","0.014192485585756826","15","true"
"62","0.8922891718938097","55","true","62","0.014192485585756826","15","true"
"63","0.8922891718938097","55","true","63","0.014192485585756826","15","true"
"64","0.8922891718938097","55","true","64","0.014192485585756826","15","true"
"65","0.8922891718938097","55","true","65","0.014192485585756826","15","true"
"66","0.8922891718938097","55","true","66","0.014192485585756826","15","true"
"67","0.8922891718938097","55","true","67","0.014192485585756826","15","true"
"68","0.8922891718938097","55","true","68","0.014192485585756826","15","true"
"69","0.8922891718938097","55","true","69","0.014192485585756826","15","true"
"70","0.8878876390528867","55","true","70","0.014915169970791124","15","true"
"71","0.8846982095613117","55","true","71","0.016120100904448407","15","true"
"72","0.8791347833945893","55","true","72","0.01819605952883051","15","true"
"73","0.8778090729310242","55","true","73","0.018637262539701566","15","true"
"74","0.8778090729310242","55","true","74","0.018637262539701566","15","true"
"75","0.8778090729310242","55","true","75","0.018637262539701566","15","true"
"76","0.8778090729310242","55","true","76","0.018637262539701566","15","true"
"77","0.8765329205857841","55","true","77","0.019109417787831887","15","true"
"78","0.873340383033721","55","true","78","0.0203853836211961","15","true"
"79","0.873340383033721","55","true","79","0.0203853836211961","15","true"
"80","0.8700892339784447","55","true","80","0.021844941476416736","15","true"
"81","0.8700892339784447","55","true","81","0.021844941476416736","15","true"
"82","0.8700892339784447","55","true","82","0.021844941476416736","15","true"
"83","0.8700892339784447","55","true","83","0.021844941476416736","15","true"
"84","0.8700892339784447","55","true","84","0.021844941476416736","15","true"
"85","0.8700892339784447","55","true","85","0.021844941476416736","15","true"
"86","0.8700892339784447","55","true","86","0.021844941476416736","15","true"
"87","0.8700892339784447","55","true","87","0.021844941476416736","15","true"
"88","0.8700892339784447","55","true","88","0.021844941476416736","15","true"
"89","0.864927857935627","55","true","89","0.02358490566037736","15","true"
"90","0.864927857935627","55","true","90","0.02358490566037736","15","true"
