"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:13:19:603 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 7 CTDE vs Decentralised"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","51400000","true","""NC traders""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""SW traders (high CTDE prior)""","true","0","1","25","90"
"""NE traders (low CTDE prior)""","true","0","1","105","90"
"""NC traders""","true","0","1","55","90"

"""SW traders (high CTDE prior)""",,,,"""NE traders (low CTDE prior)""",,,,"""NC traders"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","105","true","0","0","55","true"
"1","73.055520841125","25","true","1","61.21218402700799","105","true","1","49.904516435024874","55","true"
"2","279.2074800960266","25","true","2","211.96810910206318","105","true","2","205.57832295938547","55","true"
"3","561.1117918189979","25","true","3","400.7177249722382","105","true","3","407.72835567414705","55","true"
"4","995.4224266382902","25","true","4","712.9806102303608","105","true","4","661.2784407241372","55","true"
"5","1626.2204364799684","25","true","5","1138.5398652396707","105","true","5","1090.2096297711057","55","true"
"6","2484.9217852416514","25","true","6","1749.2363047290492","105","true","6","1646.0501538412784","55","true"
"7","3718.5825348609023","25","true","7","2690.924735497425","105","true","7","2551.402639268019","55","true"
"8","5591.657541591765","25","true","8","4161.767317053402","105","true","8","3866.6844188440655","55","true"
"9","7982.450043625623","25","true","9","5722.803470334844","105","true","9","5531.804577680139","55","true"
"10","11574.538346027948","25","true","10","8693.348158224837","105","true","10","8025.874094620051","55","true"
"11","17387.92662987534","25","true","11","12857.513325722644","105","true","11","12075.950770551442","55","true"
"12","25515.962160165927","25","true","12","19330.182166294217","105","true","12","17742.473331497862","55","true"
"13","36916.21430425269","25","true","13","28317.14754242387","105","true","13","25982.225403909793","55","true"
"14","52051.35312958199","25","true","14","40533.07471335018","105","true","14","37228.82729392982","55","true"
"15","73104.82244853512","25","true","15","57663.8597524846","105","true","15","54459.87861779812","55","true"
"16","104871.12574789964","25","true","16","81516.91101689474","105","true","16","79321.75214841178","55","true"
"17","141030.14034427775","25","true","17","111194.33968319301","105","true","17","115738.61259626292","55","true"
"18","193921.5672531671","25","true","18","160614.5698971647","105","true","18","163608.34163852272","55","true"
