"export-plot data (NetLogo 6.4.0)"
"NigeriaFinal1.nlogo"
"04/28/2026 21:13:36:579 +0100"

"MODEL SETTINGS"
"initial-trader-capital","discount-factor","tick-period","exploration-rate","learning-rate"
"500000","0.95","30","0.15","0.1"

"""Plot 8 Agent Movement"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","20","true","""NE traders away""","true","5"

"pen name","pen down?","mode","interval","color","x"
"""SW winners count""","true","0","1","55","90"
"""SW losers count""","true","0","1","15","90"
"""SW traders away""","true","0","1","95","90"
"""NW traders away""","true","0","1","105","90"
"""NE traders away""","true","0","1","35","90"

"""SW winners count""",,,,"""SW losers count""",,,,"""SW traders away""",,,,"""NW traders away""",,,,"""NE traders away"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","55","true","0","20","15","true","0","0","95","true","0","0","105","true","0","0","35","true"
"1","12","55","true","1","8","15","true","1","0","95","true","1","0","105","true","1","0","35","true"
"2","11","55","true","2","9","15","true","2","0","95","true","2","0","105","true","2","0","35","true"
"3","14","55","true","3","6","15","true","3","0","95","true","3","0","105","true","3","0","35","true"
"4","13","55","true","4","7","15","true","4","0","95","true","4","0","105","true","4","0","35","true"
"5","12","55","true","5","8","15","true","5","0","95","true","5","0","105","true","5","0","35","true"
"6","14","55","true","6","6","15","true","6","0","95","true","6","0","105","true","6","0","35","true"
"7","13","55","true","7","7","15","true","7","0","95","true","7","0","105","true","7","0","35","true"
"8","12","55","true","8","8","15","true","8","0","95","true","8","0","105","true","8","0","35","true"
"9","13","55","true","9","7","15","true","9","0","95","true","9","0","105","true","9","0","35","true"
"10","12","55","true","10","8","15","true","10","0","95","true","10","0","105","true","10","0","35","true"
"11","11","55","true","11","9","15","true","11","0","95","true","11","0","105","true","11","0","35","true"
"12","13","55","true","12","7","15","true","12","0","95","true","12","0","105","true","12","0","35","true"
"13","14","55","true","13","6","15","true","13","1","95","true","13","0","105","true","13","0","35","true"
"14","13","55","true","14","7","15","true","14","1","95","true","14","0","105","true","14","0","35","true"
"15","13","55","true","15","7","15","true","15","2","95","true","15","0","105","true","15","1","35","true"
"16","12","55","true","16","8","15","true","16","1","95","true","16","0","105","true","16","1","35","true"
"17","13","55","true","17","7","15","true","17","3","95","true","17","0","105","true","17","1","35","true"
"18","12","55","true","18","8","15","true","18","2","95","true","18","0","105","true","18","1","35","true"
"19","13","55","true","19","7","15","true","19","3","95","true","19","0","105","true","19","1","35","true"
"20","11","55","true","20","9","15","true","20","2","95","true","20","0","105","true","20","1","35","true"
"21","12","55","true","21","8","15","true","21","2","95","true","21","0","105","true","21","1","35","true"
"22","13","55","true","22","7","15","true","22","3","95","true","22","0","105","true","22","1","35","true"
"23","14","55","true","23","6","15","true","23","3","95","true","23","0","105","true","23","0","35","true"
"24","12","55","true","24","8","15","true","24","0","95","true","24","0","105","true","24","2","35","true"
"25","12","55","true","25","8","15","true","25","0","95","true","25","0","105","true","25","0","35","true"
"26","12","55","true","26","8","15","true","26","0","95","true","26","1","105","true","26","2","35","true"
"27","12","55","true","27","8","15","true","27","0","95","true","27","0","105","true","27","0","35","true"
"28","13","55","true","28","7","15","true","28","0","95","true","28","1","105","true","28","1","35","true"
"29","12","55","true","29","8","15","true","29","0","95","true","29","0","105","true","29","0","35","true"
"30","12","55","true","30","8","15","true","30","0","95","true","30","0","105","true","30","1","35","true"
"31","12","55","true","31","8","15","true","31","0","95","true","31","0","105","true","31","0","35","true"
"32","12","55","true","32","8","15","true","32","0","95","true","32","0","105","true","32","0","35","true"
"33","12","55","true","33","8","15","true","33","0","95","true","33","0","105","true","33","0","35","true"
"34","12","55","true","34","8","15","true","34","0","95","true","34","0","105","true","34","0","35","true"
"35","12","55","true","35","8","15","true","35","0","95","true","35","0","105","true","35","0","35","true"
"36","12","55","true","36","8","15","true","36","0","95","true","36","0","105","true","36","0","35","true"
"37","12","55","true","37","8","15","true","37","0","95","true","37","0","105","true","37","0","35","true"
"38","12","55","true","38","8","15","true","38","0","95","true","38","0","105","true","38","0","35","true"
"39","12","55","true","39","8","15","true","39","1","95","true","39","0","105","true","39","0","35","true"
"40","12","55","true","40","8","15","true","40","1","95","true","40","0","105","true","40","0","35","true"
"41","12","55","true","41","8","15","true","41","0","95","true","41","0","105","true","41","0","35","true"
"42","12","55","true","42","8","15","true","42","0","95","true","42","1","105","true","42","1","35","true"
"43","12","55","true","43","8","15","true","43","0","95","true","43","1","105","true","43","0","35","true"
